iteration,true_error_float,true_error_double
0,5.453769e+01,5.453769e+01
1,1.462759e+01,1.462759e+01
2,2.050750e+00,2.050747e+00
3,3.227153e-01,3.227143e-01
4,7.560665e-02,7.560592e-02
5,8.906640e-03,8.906478e-03
6,1.964336e-03,1.964409e-03
7,8.030743e-04,8.027330e-04
8,1.325917e-04,1.320387e-04
9,1.458406e-05,1.387843e-05
10,4.174659e-06,1.266088e-06
11,4.306475e-06,1.232924e-07
12,4.306475e-06,9.271249e-09
